nombre_ejercicio,otros_nombres,tipo_ejercicio,grupo_muscular_principal,grupo_muscular_secundario,localizacion,url_video,descripcion,imagen,equipamiento,nivel,patron_movimiento,series_recomendadas
Patada de glúteo a cuatro puntos,"Donkey kick, Patada de burro",Aislamiento,Glúteos,Core,Ambos,https://player.mediadelivery.net/play/713982/df390fa8-430c-491c-824c-966ff30bf5bd,"1. Colócate en cuadrupedia con la espalda neutra.
2. Mantén la rodilla de trabajo flexionada a 90°.
3. Eleva esa pierna hacia atrás y arriba apretando el glúteo.
4. Baja controlado sin tocar el suelo del todo. Repite y cambia de lado.

⚠️ Errores comunes
* Arquear la zona lumbar.
* Rotar la cadera hacia un lado.
* Usar impulso en vez de control.
* Extender la rodilla durante el movimiento.",patada-de-gluteo-a-cuatro-puntos.png,"Peso corporal, Banda elástica",Principiante,Extensión de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
Extensión de cadera en máquina,"Glute machine, Máquina de glúteo",Aislamiento,Glúteos,,Gimnasio,https://player.mediadelivery.net/play/713982/6244cf6b-0d97-4196-a812-2f68facab649,"1. Ajusta la máquina y coloca el pie de trabajo en la plataforma o el agarre.
2. Apoya el torso de forma estable.
3. Extiende la pierna hacia atrás apretando el glúteo.
4. Vuelve controlado. Repite y cambia de lado.

⚠️ Errores comunes
* Arquear la zona lumbar.
* Usar impulso.
* Rango incompleto.
* No apretar el glúteo al final del recorrido.",extension-de-cadera-en-maquina.png,Máquina,Principiante,Extensión de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
Hiperextensión (45°),"Back extension, Hiperextensión 45 grados",Compuesto,Glúteos,"Lumbares, Femorales / isquiosurales",Gimnasio,https://player.mediadelivery.net/play/713982/fa197f0c-9c6b-4ff0-b13d-efd6d2f5d1f5,"1. Ajusta el banco y coloca la cadera sobre el borde del cojín, piernas fijadas.
2. Deja caer el torso hacia abajo con la espalda relajada.
3. Eleva el torso apretando el glúteo hasta alinearte con las piernas.
4. Baja controlado. Repite.

⚠️ Errores comunes
* Hiperextender la espalda subiendo más de la cuenta.
* Usar impulso.
* No apretar el glúteo arriba.
* Bajar demasiado rápido sin control.",hiperextension-45.png,"Banco, Máquina, Disco",Intermedio,Extensión de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
Jalón de cadera en polea,"Cable pull-through, Jalón de cadera",Compuesto,Glúteos,Femorales / isquiosurales,Gimnasio,https://player.mediadelivery.net/play/713982/9e18ecd0-b371-4155-be33-147facab87e3,"1. Colócate de espaldas a la polea baja con la cuerda entre las piernas.
2. Inclina el torso hacia delante con la espalda recta, cadera atrás.
3. Extiende la cadera hasta quedar erguido, apretando el glúteo.
4. Vuelve a inclinar el torso de forma controlada. Repite.

⚠️ Errores comunes
* Doblar demasiado las rodillas (se vuelve sentadilla).
* Redondear la espalda.
* No completar la extensión de cadera arriba.
* Tirar con los brazos en vez de con la cadera.",jalon-de-cadera-en-polea.png,"Polea, Cable",Intermedio,Bisagra de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
Caminata lateral con banda,"Monster walk, Lateral band walk",Aislamiento,Glúteos,Abductores,Casa,https://player.mediadelivery.net/play/713982/4237b87c-585e-4787-b72e-d273d8e14912,"1. Coloca la banda alrededor de los tobillos o las rodillas.
2. Ponte en ligera sentadilla con tensión en la banda.
3. Da un paso amplio hacia un lado sin perder la tensión.
4. Sigue con el otro pie y continúa varios pasos en la misma dirección.

⚠️ Errores comunes
* Perder la flexión de cadera y ponerse de pie.
* Dar pasos demasiado cortos perdiendo tensión.
* Dejar que las rodillas colapsen hacia dentro.
* Arrastrar el pie en vez de dar un paso claro.",caminata-lateral-con-banda.png,Banda elástica,Principiante,Aducción / abducción de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
Rodillas al pecho,"High knees, Skipping",Cardio,Cuerpo completo,"Cuádriceps, Core",Ambos,https://player.mediadelivery.net/play/713982/d55d45ec-3824-4846-8d19-beea8dcf9dff,"1. De pie, erguido, con los brazos listos.
2. Eleva una rodilla hacia el pecho a la altura de la cadera.
3. Baja y eleva la otra rodilla de inmediato.
4. Mantén el ritmo alternando a la mayor velocidad controlada posible.

⚠️ Errores comunes
* Inclinar demasiado el torso hacia atrás.
* Apoyar el talón en vez de la punta del pie.
* Rodillas que no llegan a la altura de la cadera.
* Perder el ritmo.",rodillas-al-pecho.png,Peso corporal,Principiante,Metabólico / cuerpo completo,"8-10 rondas de 30 seg de trabajo, 30 seg de descanso"
Jalón al pecho con banda elástica,"Lat pulldown con banda, Jalón con banda",Compuesto,Espalda,Bíceps,Casa,https://player.mediadelivery.net/play/713982/ac0e7608-0be5-4dac-865c-9ef682539639,"1. Ancla la banda en alto y colócate de rodillas o sentado debajo.
2. Sujeta los extremos con agarre ancho, brazos extendidos.
3. Tira hacia la parte alta del pecho llevando los codos abajo.
4. Sube controlado. Repite.

⚠️ Errores comunes
* Tirar hacia atrás con el torso en vez de con los brazos.
* Encoger los hombros al tirar.
* Recorrido corto sin acercar la barra imaginaria al pecho.
* Anclaje demasiado bajo.",jalon-al-pecho-con-banda-elastica.png,Banda elástica,Principiante,Tirón vertical,"3 series de 10 repeticiones, 60 seg de descanso"
Plancha con toque de hombro,"Shoulder tap plank, Plank shoulder taps",Aislamiento,Core,"Hombros, Abdomen",Ambos,https://player.mediadelivery.net/play/713982/55689378-683b-4fa7-90d7-203a6a826e15,"1. Colócate en plancha alta con los pies algo separados.
2. Mantén el cuerpo en línea recta y el core activo.
3. Toca el hombro contrario con una mano sin rotar la cadera.
4. Alterna de mano de forma controlada.

⚠️ Errores comunes
* Rotar la cadera al tocar el hombro.
* Pies demasiado juntos (más inestabilidad de la cuenta).
* Ir demasiado rápido perdiendo el control.
* Hundir la cadera.",plancha-con-toque-de-hombro.png,Peso corporal,Intermedio,Anti-rotación,"3 series de 10 repeticiones, 60 seg de descanso"
Zancada lateral,"Lateral lunge, Side lunge",Compuesto,Cuádriceps,"Glúteos, Aductores",Ambos,https://player.mediadelivery.net/play/713982/c679a748-cee2-44da-ab3f-fe66c636a0b5,"1. Da un paso amplio hacia un lado.
2. Flexiona la rodilla de esa pierna llevando la cadera atrás, la otra pierna extendida.
3. Empuja con la pierna flexionada para volver al centro.
4. Repite hacia el otro lado.

⚠️ Errores comunes
* La rodilla de apoyo colapsando hacia dentro.
* Inclinar el torso en exceso.
* Dar un paso demasiado corto.
* Perder el equilibrio lateral.",zancada-lateral.png,"Peso corporal, Mancuernas, Kettlebell",Intermedio,Zancada / unilateral,"3 series de 10 repeticiones, 60 seg de descanso"
Sentadilla en multipower,"Smith machine squat, Sentadilla en Smith",Compuesto,Cuádriceps,Glúteos,Gimnasio,https://player.mediadelivery.net/play/713982/a4130208-6aa3-460c-a3b2-c3a3fa50a2c4,"1. Colócate bajo la barra guiada con los pies ligeramente adelantados.
2. Desengancha la barra girando las muñecas.
3. Baja en sentadilla hasta el paralelo.
4. Empuja con los pies para volver arriba. Repite.

⚠️ Errores comunes
* Pies demasiado cerca de la línea de la barra (fuerza a las rodillas).
* Rodillas colapsando hacia dentro.
* Rango insuficiente.
* Apoyarse en la barra para descansar entre repeticiones.",sentadilla-en-multipower.png,"Multipower, Disco",Principiante,Dominante de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Extensión de tríceps sobre la cabeza con mancuerna,"Overhead triceps extension, French press de pie",Aislamiento,Tríceps,Antebrazos,Ambos,https://player.mediadelivery.net/play/713982/8cc6cbd2-4ceb-4419-a775-8f9d9666a376,"1. Sujeta la mancuerna con ambas manos por encima de la cabeza, brazos extendidos.
2. Flexiona los codos bajando la mancuerna detrás de la cabeza.
3. Mantén los codos apuntando arriba, sin abrirlos.
4. Extiende de nuevo. Repite.

⚠️ Errores comunes
* Abrir los codos hacia los lados.
* Mover los hombros en vez de solo el codo.
* Arquear la zona lumbar.
* Bajar demasiado rápido sin control.",extension-de-triceps-sobre-la-cabeza-con-mancuerna.png,"Mancuernas, Banco",Intermedio,Extensión de codo,"3 series de 10 repeticiones, 60 seg de descanso"
Press militar con banda elástica,"Overhead press con banda, Band shoulder press",Compuesto,Hombros,"Tríceps, Core",Casa,https://player.mediadelivery.net/play/713982/9feefa14-7903-4631-84c7-854a8d5ee255,"1. Pisa el centro de la banda y sujeta los extremos a la altura de los hombros.
2. Aprieta el core para fijar el tronco.
3. Empuja los brazos hacia arriba hasta casi extenderlos.
4. Baja controlado a los hombros. Repite.

⚠️ Errores comunes
* Arquear la zona lumbar al empujar.
* Empujar hacia delante en vez de recto.
* No extender del todo arriba.
* Pisar la banda de forma desigual.",press-militar-con-banda-elastica.png,Banda elástica,Principiante,Empuje vertical,"3 series de 10 repeticiones, 60 seg de descanso"
Abdominales completos,"Sit-up, Abdominal completo",Aislamiento,Abdomen,Psoas / flexores de cadera,Ambos,https://player.mediadelivery.net/play/713982/643c4266-deb7-4e28-b5ae-05bc9263b2cc,"1. Túmbate con las rodillas flexionadas y los pies apoyados.
2. Cruza los brazos sobre el pecho.
3. Eleva el tronco por completo hasta sentarte.
4. Baja controlado vértebra a vértebra. Repite.

⚠️ Errores comunes
* Tirar del cuello con las manos.
* Usar impulso de las piernas.
* Subir con un tirón brusco.
* No controlar la bajada.",abdominales-completos.png,Peso corporal,Principiante,Flexión de tronco,"3 series de 10 repeticiones, 60 seg de descanso"
Aperturas con banda elástica,"Band chest fly, Cristo con banda",Aislamiento,Pecho,Hombros,Casa,https://player.mediadelivery.net/play/713982/dfd7165f-0560-4ab3-a1c8-628dabe6f343,"1. Ancla la banda detrás a la altura del pecho.
2. Abre los brazos a los lados con los codos ligeramente flexionados.
3. Junta las manos al frente del pecho describiendo un arco.
4. Abre controlado de vuelta. Repite.

⚠️ Errores comunes
* Flexionar y extender los codos (se vuelve un press).
* Usar impulso del torso.
* Anclaje a una altura incorrecta.
* Abrir demasiado forzando el hombro.",aperturas-con-banda-elastica.png,Banda elástica,Principiante,Empuje horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Elevación de piernas colgado,"Hanging leg raise, Elevación de piernas en barra",Aislamiento,Abdomen,"Psoas / flexores de cadera, Antebrazos",Gimnasio,https://player.mediadelivery.net/play/713982/0f417ce8-8761-4635-a875-ebb6854f4b09,"1. Cuélgate de la barra con los brazos extendidos.
2. Aprieta el abdomen y evita balancearte.
3. Eleva las piernas hasta la horizontal o más.
4. Baja controlado sin impulso. Repite.

⚠️ Errores comunes
* Balancear el cuerpo con impulso.
* Flexionar solo la cadera sin controlar con el abdomen.
* No completar el rango.
* Encoger los hombros.",,"Barra, Rack",Avanzado,Flexión de tronco,"3 series de 10 repeticiones, 60 seg de descanso"
Flexiones diamante,"Diamond push-up, Flexión de tríceps",Compuesto,Tríceps,"Pecho, Hombros",Ambos,https://player.mediadelivery.net/play/713982/eb77e562-6671-40ee-9034-53402831e97f,"1. Coloca las manos juntas bajo el pecho formando un diamante.
2. Mantén el cuerpo recto y el abdomen activo.
3. Baja el pecho hacia las manos manteniendo los codos pegados al cuerpo.
4. Empuja hacia arriba hasta extender los brazos. Repite.

⚠️ Errores comunes
* Abrir los codos hacia los lados (pierde el énfasis en tríceps).
* Hundir la cadera.
* Bajar poco recorrido.
* Muñecas mal alineadas bajo el pecho.",flexiones-diamante.png,Peso corporal,Intermedio,Empuje horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Pájaros con banda elástica,"Reverse fly con banda, Band rear delt fly",Aislamiento,Hombros,"Trapecio, Espalda",Casa,https://player.mediadelivery.net/play/713982/b01e4788-5491-469f-a140-1e978be6dfda,"1. Ancla la banda al frente a la altura del pecho e inclina el torso con la espalda recta.
2. Sujeta los extremos con los brazos cruzados al frente.
3. Abre los brazos a los lados hasta la altura de los hombros.
4. Vuelve controlado. Repite.

⚠️ Errores comunes
* Usar impulso subiendo el torso.
* Convertirlo en remo (codos atrás).
* Tensión excesiva perdiendo la técnica.
* Juntar demasiado las escápulas.",pajaros-con-banda-elastica.png,Banda elástica,Principiante,Tirón horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Press de pecho con banda elástica,Band chest press,Compuesto,Pecho,"Tríceps, Hombros",Casa,https://player.mediadelivery.net/play/713982/ed149f55-45fc-4723-b2ed-adf8775df883,"1. Ancla la banda detrás a la altura del pecho.
2. Da un paso al frente y sujeta los extremos a la altura del pecho.
3. Empuja los brazos al frente hasta casi extenderlos.
4. Vuelve controlado. Repite.

⚠️ Errores comunes
* Encorvar los hombros al empujar.
* Usar impulso del torso.
* Extender los codos de golpe.
* Anclaje demasiado bajo o demasiado alto.",press-de-pecho-con-banda-elastica.png,Banda elástica,Principiante,Empuje horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Peso muerto sumo,Sumo deadlift,Compuesto,Femorales / isquiosurales,"Glúteos, Aductores",Ambos,https://player.mediadelivery.net/play/713982/8157ce8a-c77a-419d-a0c6-12308dda89d3,"1. Coloca los pies muy anchos con las punteras giradas hacia fuera.
2. Agarra la barra dentro de las piernas con la espalda recta.
3. Extiende cadera y rodillas a la vez llevando la barra pegada al cuerpo.
4. Baja controlado invirtiendo el patrón. Repite.

⚠️ Errores comunes
* Rodillas colapsando hacia dentro.
* Redondear la espalda baja.
* Dejar que la barra se aleje del cuerpo.
* No abrir suficiente la cadera al iniciar.",peso-muerto-sumo.png,"Barra, Disco",Intermedio,Bisagra de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
Zancadas caminando,Walking lunges,Compuesto,Cuádriceps,"Glúteos, Femorales / isquiosurales",Ambos,https://player.mediadelivery.net/play/713982/1e5f21f6-83c0-49a3-b028-d62aa527ee80,"1. Da un paso largo al frente.
2. Baja la rodilla trasera casi al suelo, rodilla delantera a ~90°.
3. Empuja con la pierna delantera y lleva el pie trasero al frente para el siguiente paso.
4. Continúa avanzando alternando piernas.

⚠️ Errores comunes
* Pasos demasiado cortos (rodilla muy adelantada).
* Rodilla delantera colapsando hacia dentro.
* Inclinar el torso en exceso.
* Perder el equilibrio al avanzar.",zancadas-caminando.png,"Peso corporal, Mancuernas",Principiante,Zancada / unilateral,"3 series de 10 repeticiones, 60 seg de descanso"
Giro ruso (Russian twist),Giro de torso sentado,Aislamiento,Abdomen,Core,Ambos,https://player.mediadelivery.net/play/713982/e02965c7-a0c5-4f6d-a76b-849c0b35f1c0,"1. Siéntate con las rodillas flexionadas e inclina el torso atrás ~45°.
2. Sujeta un disco o junta las manos frente al abdomen.
3. Rota el torso llevando las manos hacia un lado.
4. Rota hacia el lado contrario de forma controlada. Repite.

⚠️ Errores comunes
* Mover solo los brazos sin rotar el torso.
* Redondear en exceso la espalda.
* Ir demasiado rápido perdiendo el control.
* Apoyar los pies para facilitar en exceso (si se busca más dificultad).",giro-ruso-russian-twist.png,"Peso corporal, Disco, Balón medicinal",Principiante,Flexión de tronco,"3 series de 10 repeticiones, 60 seg de descanso"
Dominadas asistidas,Assisted pull-up,Compuesto,Espalda,"Bíceps, Hombros",Gimnasio,https://player.mediadelivery.net/play/713982/a9a90a06-1c50-4f12-81fe-c87a8bda6e6b,"1. Engancha una banda a la barra y apoya la rodilla o el pie en el lazo.
2. Cuelga con los brazos extendidos y agarre prono.
3. Tira llevando los codos abajo hasta superar la barra con la barbilla.
4. Baja controlado. Repite.

⚠️ Errores comunes
* Balancearse con impulso.
* No completar el rango (medias repeticiones).
* Encoger los hombros.
* Apoyar demasiado peso en la banda perdiendo el estímulo.",dominadas-asistidas.png,"Barra, Banda elástica, Máquina",Principiante,Tirón vertical,"3 series de 10 repeticiones, 60 seg de descanso"
Press inclinado con barra,Incline bench press,Compuesto,Pecho,"Tríceps, Hombros",Ambos,https://player.mediadelivery.net/play/713982/51cf2b96-21ca-4262-a5ef-d347a69f8335,"1. Ajusta el banco a 30-45° y túmbate con los pies firmes en el suelo.
2. Saca la barra del rack con agarre algo más ancho que los hombros.
3. Baja controlada hasta rozar la parte alta del pecho.
4. Empuja hacia arriba hasta extender los brazos. Repite.

⚠️ Errores comunes
* Bajar la barra demasiado alta, hacia el cuello.
* Rebotar la barra en el pecho.
* Abrir los codos en exceso (90°).
* Arquear la espalda de forma excesiva.",press-inclinado-con-barra.png,"Barra, Banco, Rack, Disco",Intermedio,Empuje horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Curl de bíceps con banda elástica,Band bicep curl,Aislamiento,Bíceps,Antebrazos,Casa,https://player.mediadelivery.net/play/713982/d1a99bd7-2772-47de-b309-564858f6588b,"1. Pisa el centro de la banda y sujeta un extremo en cada mano.
2. Mantén los codos pegados al torso.
3. Flexiona los codos subiendo las manos hacia los hombros.
4. Baja controlado hasta extender los brazos. Repite.

⚠️ Errores comunes
* Balancear el torso para subir.
* Adelantar los codos.
* No extender del todo abajo.
* Pisar la banda de forma desigual con cada pie.",curl-de-biceps-con-banda-elastica.png,Banda elástica,Principiante,Flexión de codo,"3 series de 10 repeticiones, 60 seg de descanso"
Elevaciones laterales con banda,Band lateral raise,Aislamiento,Hombros,Trapecio,Casa,https://player.mediadelivery.net/play/713982/ee8af853-e6df-411c-b1db-55605618bf85,"1. Pisa el centro de la banda con ambos pies y sujeta un extremo en cada mano.
2. Eleva los brazos a los lados hasta la altura de los hombros.
3. Lidera el movimiento con los codos, no con las manos.
4. Baja controlado. Repite.

⚠️ Errores comunes
* Usar impulso del cuerpo.
* Subir por encima de la línea de los hombros.
* Girar las muñecas en exceso.
* Encoger los hombros hacia las orejas.",elevaciones-laterales-con-banda.png,Banda elástica,Principiante,Abducción de hombro,"3 series de 10 repeticiones, 60 seg de descanso"
Sentadilla con banda en rodillas (activación de glúteo),Banded squat activation,Aislamiento,Glúteos,"Abductores, Cuádriceps",Casa,https://player.mediadelivery.net/play/713982/de254ea2-bccc-491b-af72-3a0fa01b8617,"1. Coloca la banda alrededor de las rodillas y ponte de pie con tensión ligera.
2. Baja en sentadilla parcial.
3. Empuja las rodillas hacia fuera contra la banda durante todo el recorrido.
4. Sube manteniendo la tensión. Repite.

⚠️ Errores comunes
* Dejar que las rodillas colapsen hacia dentro.
* Buscar demasiado rango sacrificando la tensión.
* Inclinar el torso en exceso.
* Perder la tensión de la banda al final del recorrido.",sentadilla-con-banda-en-rodillas-activacion-de-gluteo.png,Banda elástica,Principiante,Dominante de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Sentadilla frontal,Front squat,Compuesto,Cuádriceps,"Glúteos, Core",Gimnasio,https://player.mediadelivery.net/play/713982/3d9b78c4-9ecd-43d7-90e3-3247fb369abe,"1. Coloca la barra sobre los deltoides anteriores con los codos altos.
2. Pies a la anchura de los hombros.
3. Baja manteniendo el torso vertical y los codos arriba.
4. Empuja con los pies para subir. Repite.

⚠️ Errores comunes
* Dejar caer los codos (la barra se desliza hacia delante).
* Redondear la espalda.
* Despegar los talones del suelo.
* Inclinar demasiado el torso hacia delante.",sentadilla-frontal.png,"Barra, Rack, Disco",Intermedio,Dominante de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Extensión de tríceps con banda elástica,"Band tricep extension, Band pushdown",Aislamiento,Tríceps,Antebrazos,Casa,https://player.mediadelivery.net/play/713982/093b7130-bea0-4005-a6b7-1922356ecaa5,"1. Ancla la banda en alto (puerta, barra) y colócate de frente con los codos pegados al torso.
2. Extiende los brazos hacia abajo hasta estirarlos del todo.
3. Aprieta el tríceps abajo un instante.
4. Sube controlado sin separar los codos. Repite.

⚠️ Errores comunes
* Separar los codos del torso.
* Usar impulso del cuerpo inclinándose.
* Recorrido corto sin extender del todo.
* Encoger los hombros.",extension-de-triceps-con-banda-elastica.png,Banda elástica,Principiante,Extensión de codo,"3 series de 10 repeticiones, 60 seg de descanso"
Press de pecho con mancuernas (banco plano),Dumbbell bench press,Compuesto,Pecho,"Tríceps, Hombros",Ambos,https://player.mediadelivery.net/play/713982/79ecf105-e442-4138-9b93-95eff1017d33,"1. Túmbate en el banco con una mancuerna en cada mano a la altura del pecho.
2. Codos a ~45° del torso.
3. Empuja las mancuernas hacia arriba hasta casi juntarlas.
4. Baja controlado a los lados del pecho. Repite.

⚠️ Errores comunes
* Arquear en exceso la zona lumbar.
* Chocar las mancuernas arriba con impulso.
* Flexionar las muñecas hacia atrás.
* Bajar descontrolado.",press-de-pecho-con-mancuernas-banco-plano.png,"Mancuernas, Banco",Principiante,Empuje horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Abdominales bicicleta,Bicycle crunch,Aislamiento,Abdomen,Core,Ambos,https://player.mediadelivery.net/play/713982/1e5b485b-ae8c-42fb-846d-23d003d1e393,"1. Túmbate boca arriba con las manos detrás de la cabeza y las rodillas a 90°.
2. Pega la zona lumbar al suelo.
3. Lleva un codo hacia la rodilla contraria mientras extiendes la otra pierna.
4. Alterna de forma controlada de lado a lado.

⚠️ Errores comunes
* Tirar del cuello con las manos.
* Ir demasiado rápido perdiendo el control.
* Despegar la zona lumbar del suelo.
* Recorrido corto sin rotar el tronco.",abdominales-bicicleta.png,Peso corporal,Principiante,Flexión de tronco,"3 series de 10 repeticiones, 60 seg de descanso"
Sentadilla con peso corporal,"Bodyweight squat, Air squat",Compuesto,Cuádriceps,"Glúteos, Femorales / isquiosurales",Ambos,https://player.mediadelivery.net/play/713982/dbf3bd79-94c0-4e4a-9083-4f5d21c4ff72,"1. Colócate de pie con los pies a la anchura de los hombros.
2. Extiende los brazos al frente para equilibrio.
3. Baja flexionando cadera y rodillas hasta el paralelo.
4. Empuja con los pies para volver arriba. Repite.

⚠️ Errores comunes
* Rodillas colapsando hacia dentro.
* Despegar los talones del suelo.
* Redondear la espalda baja.
* Rango insuficiente (cuarto de sentadilla).",sentadilla-con-peso-corporal.png,Peso corporal,Principiante,Dominante de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Saltos de tijera (jumping jacks),Jumping jack,Cardio,Cuerpo completo,"Hombros, Gemelos",Ambos,https://player.mediadelivery.net/play/713982/0996e066-3813-4fd2-b0b9-7b924f047ab4,"1. De pie con los pies juntos y los brazos a los lados.
2. Salta abriendo las piernas y elevando los brazos por encima de la cabeza.
3. Salta de vuelta juntando piernas y bajando los brazos.
4. Repite a un ritmo constante.

⚠️ Errores comunes
* Aterrizar con las piernas rígidas.
* Ritmo descontrolado que rompe la coordinación.
* No completar el rango de los brazos.
* Aterrizar solo sobre los talones.",saltos-de-tijera-jumping-jacks.png,Peso corporal,Principiante,Metabólico / cuerpo completo,"8-10 rondas de 30 seg de trabajo, 30 seg de descanso"
Zancada búlgara,Bulgarian split squat,Compuesto,Cuádriceps,Glúteos,Ambos,https://player.mediadelivery.net/play/713982/767c0c6c-d998-4108-8181-ba8bbe474c69,"1. Apoya el empeine del pie trasero sobre un banco detrás de ti.
2. Da un paso adecuado al frente con el otro pie.
3. Baja la rodilla trasera casi al suelo, rodilla delantera a 90°.
4. Empuja con la pierna delantera para subir. Repite y cambia de lado.

⚠️ Errores comunes
* Pie delantero demasiado cerca del banco.
* Rodilla delantera colapsando hacia dentro.
* Apoyar demasiado peso en la pierna trasera.
* Inclinar el torso en exceso.",zancada-bulgara.png,"Banco, Mancuernas, Peso corporal",Intermedio,Zancada / unilateral,"3 series de 10 repeticiones, 60 seg de descanso"
Remo invertido,"Inverted row, Australian pull-up",Compuesto,Espalda,"Bíceps, Core",Ambos,https://player.mediadelivery.net/play/713982/aaa10ba4-98f4-4c10-90cc-a6e57ca16ae4,"1. Colócate bajo la barra con el cuerpo recto y los talones apoyados.
2. Sujeta la barra con agarre prono, brazos extendidos.
3. Tira del pecho hacia la barra llevando los codos atrás.
4. Baja controlado hasta extender los brazos. Repite.

⚠️ Errores comunes
* Hundir la cadera perdiendo la línea recta.
* Tirar solo con los brazos sin activar la espalda.
* Recorrido corto sin acercar el pecho.
* Encoger los hombros.",remo-invertido.png,"Barra, Rack, TRX",Principiante,Tirón horizontal,"3 series de 10 repeticiones, 60 seg de descanso"
Sentadilla con salto,Jump squat,Compuesto,Cuádriceps,"Glúteos, Gemelos",Ambos,https://player.mediadelivery.net/play/713982/02725e7d-7037-4f25-9b54-a286f1e086bc,"1. Parte en ligera sentadilla con los brazos atrás.
2. Impulsa hacia arriba con fuerza extendiendo cadera, rodillas y tobillos.
3. Sube los brazos durante el salto.
4. Aterriza suave volviendo a la sentadilla. Repite.

⚠️ Errores comunes
* Aterrizar rígido sin amortiguar.
* Rodillas hacia dentro al caer.
* Poco rango antes del salto.
* Perder el equilibrio al aterrizar.",sentadilla-con-salto.png,Peso corporal,Intermedio,Dominante de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Mountain climbers (escaladores),Mountain climber,Cardio,Core,"Hombros, Cuádriceps",Ambos,https://player.mediadelivery.net/play/713982/0ceb7a01-6663-4214-ab99-45722373cae2,"1. Colócate en plancha alta con las manos bajo los hombros.
2. Mantén el cuerpo en línea y el core activo.
3. Lleva una rodilla hacia el pecho y vuelve, alternando rápido.
4. Mantén el ritmo el tiempo objetivo.

⚠️ Errores comunes
* Subir demasiado la cadera (perder la plancha).
* Rebotar con los hombros adelantados.
* Apoyar mal las manos.
* Perder la línea del cuerpo al acelerar.",mountain-climbers-escaladores.png,Peso corporal,Principiante,Metabólico / cuerpo completo,"8-10 rondas de 30 seg de trabajo, 30 seg de descanso"
Box jump (salto al cajón),Box jump,Cardio,Cuádriceps,"Glúteos, Gemelos",Ambos,https://player.mediadelivery.net/play/713982/11fcdb57-b445-4372-bbb1-90e4b2338ffe,"1. Colócate frente al cajn con una ligera flexión de rodillas.
2. Lleva los brazos atrás y salta de forma explosiva.
3. Aterriza sobre el cajn con suavidad, en ligera sentadilla.
4. Baja con control (mejor bajar caminando que saltando). Repite.

⚠️ Errores comunes
* Aterrizar con las rodillas hacia dentro.
* Caer rígido sin amortiguar.
* Elegir un cajn demasiado alto.
* Bajar saltando del cajn (mayor impacto).",box-jump-salto-al-cajon.jpg,Cajón/step,Intermedio,Metabólico / cuerpo completo,"3 series de 10 repeticiones, 60 seg de descanso"
Thrusters,"Thruster, Sentadilla con press",Cardio,Cuerpo completo,"Cuádriceps, Hombros, Glúteos",Ambos,https://player.mediadelivery.net/play/713982/891c7ac9-5102-44d3-ba04-47de73b61851,"1. Parte con las mancuernas a la altura de los hombros.
2. Baja en sentadilla hasta el paralelo.
3. Al subir, aprovecha el impulso para empujar las mancuernas por encima de la cabeza.
4. Baja las mancuernas a los hombros y repite.

⚠️ Errores comunes
* Arquear la lumbar al empujar arriba.
* Separar la sentadilla del press (perder la fluidez).
* No bajar lo suficiente en la sentadilla.
* Empujar las mancuernas hacia delante.",thrusters.png,"Mancuernas, Barra, Kettlebell",Intermedio,Metabólico / cuerpo completo,"3 series de 10 repeticiones, 60 seg de descanso"
Kettlebell swing,Balanceo de kettlebell,Cardio,Glúteos,"Femorales / isquiosurales, Core",Ambos,https://player.mediadelivery.net/play/713982/2a207bce-3a23-49c1-8e28-ff26dc0ccf41,"1. Parte en bisagra de cadera con la kettlebell entre los pies.
2. Balancea la kettlebell hacia atrás entre las piernas.
3. Empuja la cadera al frente con fuerza para impulsarla hasta el pecho.
4. Deja que baje de nuevo en bisagra. Repite.

⚠️ Errores comunes
* Hacer una sentadilla en vez de bisagra de cadera.
* Levantar la kettlebell con los brazos.
* Redondear la espalda.
* Hiperextender la lumbar arriba.",kettlebell-swing.png,Kettlebell,Intermedio,Bisagra de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
